epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,483.244,0.95971,1.48521,0.76062,0.91367,0,0.97283,0.8954,0.94658,0.75638,0.99747,0.85,0.92141,0.69316,0.76994,1.13875,0.67737,0.94742,0,0.001406,0.001406,0.001406
62,490.706,0.9245,1.56329,0.73738,0.9216,0,1,0.87448,0.94959,0.76243,0.99893,0.85,0.92337,0.66467,0.77533,1.13827,0.67891,0.9499,0,0.0013961,0.0013961,0.0013961
63,498.333,0.93298,1.49198,0.74803,0.92805,0,0.994,0.875,0.94134,0.74664,1,0.84475,0.93526,0.64161,0.79824,1.14721,0.71932,0.94932,0,0.0013862,0.0013862,0.0013862
64,506.004,0.96705,1.58144,0.7334,0.94255,0,0.994,0.875,0.94134,0.74664,1,0.84475,0.93526,0.64161,0.79824,1.14721,0.71932,0.94932,0,0.0013763,0.0013763,0.0013763
65,513.803,0.91349,1.48889,0.73218,0.90853,0,0.99491,0.875,0.94058,0.76029,0.96631,0.85,0.90271,0.64424,0.75664,1.16859,0.70238,0.94146,0,0.0013664,0.0013664,0.0013664
66,521.323,0.91564,1.53951,0.73481,0.90662,0,0.99491,0.875,0.94058,0.76029,0.96631,0.85,0.90271,0.64424,0.75664,1.16859,0.70238,0.94146,0,0.0013565,0.0013565,0.0013565
67,529.011,0.88027,1.44764,0.72294,0.91601,0,0.99328,0.875,0.94714,0.76884,1,0.84501,0.91924,0.68085,0.78045,1.19109,0.64286,0.9542,0,0.0013466,0.0013466,0.0013466
68,536.361,0.90743,1.47795,0.74014,0.92068,0,0.99264,0.9,0.95152,0.76123,1,0.8664,0.91834,0.68127,0.76598,1.15184,0.63515,0.94704,0,0.0013367,0.0013367,0.0013367
69,543.915,0.90002,1.47769,0.69844,0.9047,0,0.99264,0.9,0.95152,0.76123,1,0.8664,0.91834,0.68127,0.76598,1.15184,0.63515,0.94704,0,0.0013268,0.0013268,0.0013268
70,551.624,0.89361,1.50462,0.69736,0.90602,0,0.99769,0.9,0.95491,0.76802,0.99592,0.875,0.92411,0.67921,0.75543,1.09673,0.63522,0.9374,0,0.0013169,0.0013169,0.0013169
71,559.375,0.95461,1.47299,0.74465,0.90883,0,0.99756,0.9,0.95646,0.77581,0.99877,0.875,0.92835,0.66263,0.73773,1.096,0.63069,0.93398,0,0.001307,0.001307,0.001307
72,566.926,0.92961,1.52559,0.68519,0.89693,0,0.99756,0.9,0.95646,0.77581,0.99877,0.875,0.92835,0.66263,0.73773,1.096,0.63069,0.93398,0,0.0012971,0.0012971,0.0012971
73,575.03,0.86941,1.52581,0.67777,0.89357,0,0.99731,0.9,0.95653,0.77312,0.9967,0.875,0.92595,0.69854,0.73545,1.09327,0.62095,0.93248,0,0.0012872,0.0012872,0.0012872
74,582.536,0.88799,1.35706,0.83069,0.92503,0,0.99731,0.9,0.95653,0.77312,0.9967,0.875,0.92595,0.69854,0.73545,1.09327,0.62095,0.93248,0,0.0012773,0.0012773,0.0012773
75,590.231,0.88855,1.41846,0.68586,0.91665,0,0.9972,0.9,0.95452,0.77717,0.99592,0.875,0.92445,0.69699,0.74252,1.08172,0.62181,0.93202,0,0.0012674,0.0012674,0.0012674
76,597.888,0.88672,1.43947,0.69036,0.8998,0,1,0.89629,0.95148,0.77377,0.99621,0.875,0.92247,0.69531,0.72272,1.13395,0.60114,0.92762,0,0.0012575,0.0012575,0.0012575
77,605.765,0.84587,1.39088,0.6712,0.89274,0,1,0.89629,0.95148,0.77377,0.99621,0.875,0.92247,0.69531,0.72272,1.13395,0.60114,0.92762,0,0.0012476,0.0012476,0.0012476
78,613.326,0.869,1.39598,0.69458,0.90243,0,0.99502,0.875,0.95504,0.76386,0.99502,0.875,0.9193,0.68549,0.76336,1.17314,0.60702,0.93301,0,0.0012377,0.0012377,0.0012377
79,621.304,0.89771,1.43992,0.67846,0.89406,0,1,0.89612,0.96032,0.78038,0.99564,0.875,0.94692,0.67177,0.74166,1.15765,0.58792,0.92681,0,0.0012278,0.0012278,0.0012278
80,628.768,0.88717,1.36309,0.74847,0.92783,0,1,0.89612,0.96032,0.78038,0.99564,0.875,0.94692,0.67177,0.74166,1.15765,0.58792,0.92681,0,0.0012179,0.0012179,0.0012179
81,636.501,0.86159,1.40985,0.67578,0.89664,0,0.99569,0.875,0.95524,0.79149,0.99569,0.875,0.92774,0.69583,0.70916,1.14197,0.60929,0.91254,0,0.001208,0.001208,0.001208
82,644.318,0.9032,1.38266,0.68582,0.89071,0,0.99569,0.875,0.95524,0.79149,0.99569,0.875,0.92774,0.69583,0.70916,1.14197,0.60929,0.91254,0,0.0011981,0.0011981,0.0011981
83,651.87,0.82378,1.26579,0.66619,0.88726,0,0.99578,0.875,0.9557,0.77534,0.99578,0.875,0.92904,0.70246,0.71758,1.13409,0.61441,0.91755,0,0.0011882,0.0011882,0.0011882
84,659.518,0.87762,1.41406,0.66947,0.88377,0,1,0.89549,0.95645,0.77511,1,0.89549,0.93099,0.70605,0.69326,1.10069,0.5968,0.91435,0,0.0011783,0.0011783,0.0011783
85,667.219,0.88181,1.49798,0.67883,0.8812,0,1,0.89549,0.95645,0.77511,1,0.89549,0.93099,0.70605,0.69326,1.10069,0.5968,0.91435,0,0.0011684,0.0011684,0.0011684
86,674.815,0.80495,1.2793,0.69163,0.88449,0,1,0.89722,0.95774,0.78254,1,0.89722,0.93273,0.69723,0.69593,1.08247,0.58345,0.91121,0,0.0011585,0.0011585,0.0011585
87,682.464,0.82831,1.39748,0.65916,0.90801,0,0.99595,0.875,0.95894,0.7908,0.99595,0.875,0.96013,0.7132,0.69353,1.08229,0.57827,0.91227,0,0.0011486,0.0011486,0.0011486
88,690.067,0.85357,1.46096,0.66312,0.87106,0,0.99595,0.875,0.95894,0.7908,0.99595,0.875,0.96013,0.7132,0.69353,1.08229,0.57827,0.91227,0,0.0011387,0.0011387,0.0011387
89,697.773,0.80734,1.31663,0.65192,0.88654,0,0.97293,0.89859,0.9571,0.79792,0.97293,0.89859,0.95839,0.69761,0.67507,1.10139,0.57674,0.91181,0,0.0011288,0.0011288,0.0011288
90,705.472,0.88311,1.37079,0.68236,0.91421,0,0.97293,0.89859,0.9571,0.79792,0.97293,0.89859,0.95839,0.69761,0.67507,1.10139,0.57674,0.91181,0,0.0011189,0.0011189,0.0011189
91,713.311,0.85111,1.344,0.65946,0.89375,0,0.99423,0.875,0.95524,0.79262,0.99423,0.875,0.9323,0.69666,0.66981,1.09477,0.57278,0.91216,0,0.001109,0.001109,0.001109
92,721.076,0.84174,1.38746,0.648,0.87435,0,0.99404,0.875,0.95138,0.80492,0.99404,0.875,0.93165,0.68866,0.65853,1.10917,0.57356,0.90789,0,0.0010991,0.0010991,0.0010991
93,728.739,0.77261,1.265,0.63518,0.87903,0,0.99404,0.875,0.95138,0.80492,0.99404,0.875,0.93165,0.68866,0.65853,1.10917,0.57356,0.90789,0,0.0010892,0.0010892,0.0010892
94,736.313,0.78625,1.30746,0.63673,0.87898,0,1,0.89749,0.95575,0.80423,1,0.89749,0.92852,0.69857,0.6529,1.04187,0.57747,0.90532,0,0.0010793,0.0010793,0.0010793
95,743.984,0.79816,1.29309,0.63204,0.87899,0,0.99967,0.9,0.95801,0.81622,0.99967,0.9,0.92881,0.70044,0.64543,1.01929,0.56339,0.90827,0,0.0010694,0.0010694,0.0010694
96,751.519,0.79789,1.32123,0.63337,0.87856,0,0.99967,0.9,0.95801,0.81622,0.99967,0.9,0.92881,0.70044,0.64543,1.01929,0.56339,0.90827,0,0.0010595,0.0010595,0.0010595
97,759.22,0.75563,1.2974,0.61437,0.87114,0,1,0.92136,0.95908,0.81188,0.99918,0.9,0.93159,0.69594,0.64888,1.0371,0.56171,0.90841,0,0.0010496,0.0010496,0.0010496
98,766.853,0.80265,1.21731,0.63494,0.88281,0,1,0.92136,0.95908,0.81188,0.99918,0.9,0.93159,0.69594,0.64888,1.0371,0.56171,0.90841,0,0.0010397,0.0010397,0.0010397
99,774.456,0.77772,1.26338,0.60684,0.88895,0,1,0.92428,0.9579,0.80171,1,0.89985,0.91813,0.67608,0.65865,1.03165,0.57531,0.90764,0,0.0010298,0.0010298,0.0010298
100,782.282,0.81889,1.36271,0.62714,0.87493,0,0.99497,0.925,0.95577,0.79769,1,0.89585,0.91813,0.66944,0.65478,1.02279,0.58269,0.9034,0,0.0010199,0.0010199,0.0010199
101,789.818,0.80401,1.25708,0.62362,0.8735,0,0.99497,0.925,0.95577,0.79769,1,0.89585,0.91813,0.66944,0.65478,1.02279,0.58269,0.9034,0,0.00101,0.00101,0.00101
