epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,704.288,0.76287,1.59318,0.65782,1.04005,0,0.89856,0.77434,0.84968,0.66753,0.87014,0.7709,0.82655,0.60323,0.76083,1.70976,0.63825,1.04337,0,0.00128269,0.00128269,0.00128269
57,715.826,0.76831,1.65284,0.66308,1.04309,0,0.90482,0.79925,0.85152,0.6722,0.9192,0.75503,0.82381,0.58474,0.77659,1.71321,0.63317,1.05959,0,0.00123674,0.00123674,0.00123674
58,731.735,0.75894,1.5455,0.65545,1.0362,0,0.93261,0.75221,0.84116,0.66535,0.92799,0.74779,0.82548,0.59956,0.8029,1.68403,0.62928,1.06875,0,0.00119106,0.00119106,0.00119106
59,744.454,0.76401,1.53481,0.63389,1.04049,0,0.89819,0.77434,0.84319,0.66196,0.92727,0.73334,0.82394,0.59458,0.77673,1.6669,0.65858,1.05973,0,0.0011457,0.0011457,0.0011457
60,757.078,0.73912,1.59317,0.61955,1.01864,0,0.91812,0.80973,0.86012,0.68168,0.9012,0.80718,0.84986,0.61552,0.75536,1.61623,0.64184,1.0343,0,0.0011007,0.0011007,0.0011007
61,769.37,0.76846,1.57351,0.63578,1.04157,0,0.9138,0.80088,0.85066,0.6845,0.90332,0.79204,0.83714,0.6114,0.73554,1.63851,0.62461,1.02573,0,0.00105611,0.00105611,0.00105611
62,781.793,0.75951,1.5913,0.65065,1.03695,0,0.87493,0.79204,0.84211,0.68214,0.90849,0.74779,0.82767,0.61287,0.73898,1.69378,0.6298,1.01878,0,0.00101197,0.00101197,0.00101197
63,794.099,0.72079,1.51196,0.61268,1.01822,0,0.87761,0.79323,0.83916,0.66094,0.87874,0.76959,0.80999,0.58991,0.77592,1.68304,0.76815,1.04256,0,0.000968335,0.000968335,0.000968335
64,806.483,0.72726,1.52303,0.61663,1.02979,0,0.94559,0.76893,0.84535,0.67778,0.94005,0.76321,0.83505,0.60258,0.73499,1.67322,0.60204,1.0187,0,0.000925235,0.000925235,0.000925235
65,818.639,0.73495,1.53424,0.61031,1.01818,0,0.94134,0.78103,0.85907,0.67927,0.93264,0.76991,0.83811,0.61707,0.74413,1.65823,0.58941,1.02053,0,0.000882718,0.000882718,0.000882718
66,830.833,0.73573,1.51561,0.61556,1.02026,0,0.90614,0.78761,0.84928,0.68598,0.89456,0.78833,0.83375,0.62279,0.74282,1.64063,0.67194,1.02051,0,0.000840824,0.000840824,0.000840824
67,843.046,0.73532,1.59909,0.60517,1.00861,0,0.91091,0.76912,0.84391,0.67902,0.89526,0.75641,0.82658,0.61058,0.72426,1.63644,0.66638,1.02135,0,0.000799596,0.000799596,0.000799596
68,855.146,0.69402,1.46474,0.59865,1.00263,0,0.9097,0.81858,0.86476,0.69099,0.92259,0.79098,0.84419,0.62391,0.72913,1.60614,0.61408,1.02606,0,0.000759073,0.000759073,0.000759073
69,867.437,0.68896,1.46852,0.59722,1.00379,0,0.94584,0.77876,0.85669,0.693,0.93509,0.76991,0.83962,0.61345,0.70973,1.61846,0.60473,1.00885,0,0.000719297,0.000719297,0.000719297
70,879.474,0.70815,1.51315,0.59954,1.00505,0,0.95913,0.76106,0.8554,0.68503,0.95356,0.75664,0.84363,0.61225,0.73236,1.5931,0.5965,1.02117,0,0.000680306,0.000680306,0.000680306
71,891.669,0.70019,1.50608,0.59971,0.99535,0,0.93773,0.79204,0.85817,0.69766,0.93156,0.78298,0.83946,0.61688,0.70168,1.61725,0.58142,0.99921,0,0.000642139,0.000642139,0.000642139
72,903.834,0.71816,1.53144,0.62329,1.01736,0,0.94735,0.79617,0.85109,0.68035,0.94205,0.79127,0.83977,0.61297,0.73065,1.60781,0.66401,1.0121,0,0.000604833,0.000604833,0.000604833
73,916.064,0.71076,1.48213,0.59519,1.00878,0,0.93005,0.77434,0.85514,0.68798,0.92851,0.76549,0.83603,0.61565,0.71715,1.65581,0.6052,1.01715,0,0.000568425,0.000568425,0.000568425
74,928.611,0.68662,1.50338,0.57707,0.99996,0,0.92043,0.78319,0.85249,0.68945,0.91442,0.77876,0.82989,0.6089,0.70672,1.62352,0.64478,1.00566,0,0.000532952,0.000532952,0.000532952
75,942.233,0.69695,1.48364,0.59284,1.00561,0,0.95067,0.76749,0.85765,0.68917,0.94834,0.76106,0.83897,0.62248,0.70902,1.62347,0.61552,1.00595,0,0.000498448,0.000498448,0.000498448
76,955.006,0.69841,1.43984,0.57854,0.99827,0,0.93366,0.78761,0.86096,0.69501,0.92607,0.77876,0.84448,0.6238,0.70701,1.63193,0.56448,1.00287,0,0.000464946,0.000464946,0.000464946
77,970.401,0.67017,1.4559,0.56889,0.99174,0,0.89107,0.79633,0.85062,0.68616,0.88622,0.7927,0.83371,0.61317,0.69584,1.61951,0.60632,1.00366,0,0.000432482,0.000432482,0.000432482
